# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   RH
# 
  260,20170217,    6
  260,20170218,    0
  260,20170219,    6
  260,20170220,   53
  260,20170221,    3
  260,20170222,  175
  260,20170223,  145
  260,20170224,    6
  260,20170225,    7
  260,20170226,   21
  260,20170227,  138
  260,20170228,   28
  260,20170301,   35
  260,20170302,   84
  260,20170303,   11
  260,20170304,   61
  260,20170305,   38
  260,20170306,   23
  260,20170307,    1
  260,20170308,  137
  260,20170309,    1
  260,20170310,    0
  260,20170311,    0
  260,20170312,    0
  260,20170313,    0
  260,20170314,    0
  260,20170315,    0
  260,20170316,    0
  260,20170317,   57
  260,20170318,   62
  260,20170319,    2
  260,20170320,   94
  260,20170321,   -1
  260,20170322,    0
  260,20170323,    0
  260,20170324,    0
  260,20170325,    0
  260,20170326,    0
  260,20170327,    0
  260,20170328,    1
  260,20170329,   -1
  260,20170330,    0
  260,20170331,   14
  260,20170401,   -1
  260,20170402,    0
  260,20170403,    0
  260,20170404,    0
  260,20170405,    0
  260,20170406,   -1
  260,20170407,    0
  260,20170408,    0
  260,20170409,    0
  260,20170410,    0
  260,20170411,    0
  260,20170412,    8
  260,20170413,   -1
  260,20170414,   -1
  260,20170415,   34
  260,20170416,   29
  260,20170417,   86
  260,20170418,   -1
  260,20170419,    0
  260,20170420,    0
  260,20170421,    8
  260,20170422,    6
  260,20170423,    1
  260,20170424,   27
  260,20170425,   20
  260,20170426,    3
  260,20170427,    2
  260,20170428,   19
  260,20170429,   -1
  260,20170430,    0
  260,20170501,    9
  260,20170502,   47
  260,20170503,   35
  260,20170504,   -1
  260,20170505,   -1
  260,20170506,    0
  260,20170507,    0
  260,20170508,   -1
  260,20170509,    0
  260,20170510,    0
  260,20170511,    3
  260,20170512,  125
  260,20170513,  100
  260,20170514,   19
  260,20170515,   -1
  260,20170516,   -1
  260,20170517,    0
  260,20170518,    3
  260,20170519,    1
  260,20170520,   12
  260,20170521,    0
  260,20170522,    0
  260,20170523,    0
  260,20170524,    0
  260,20170525,    0
  260,20170526,    0
  260,20170527,    0
  260,20170528,    0
  260,20170529,    3
  260,20170530,    0
  260,20170531,    0
  260,20170601,    0
  260,20170602,    0
  260,20170603,   21
  260,20170604,    0
  260,20170605,    0
  260,20170606,  105
  260,20170607,   51
  260,20170608,    3
  260,20170609,  212
  260,20170610,    0
  260,20170611,   -1
  260,20170612,   -1
  260,20170613,    0
  260,20170614,    0
  260,20170615,    0
  260,20170616,    0
  260,20170617,    0
  260,20170618,    0
  260,20170619,    0
  260,20170620,    0
  260,20170621,    0
  260,20170622,   13
  260,20170623,    0
  260,20170624,   55
  260,20170625,   46
  260,20170626,    0
  260,20170627,   28
  260,20170628,   31
  260,20170629,    1
  260,20170630,   42
  260,20170701,   65
  260,20170702,    6
